 ,tweet,"HUMAN CATEGORY
 ARYAMAAN:1-1000,4000-4468
 Michael-Mehmet:1000-4000",SUB CATEGORY,COMMENTS,"NEW HUMAN CATEGORY
 0-1000 /4000-4468 Michael
 1000-2500 Mehmet 
 2500-4000 Aryamaan",SUB CATEGORY,COMMENTS,human category (Tarun),SUB CATEGORY,COMMENTS,NEW CATEGORY,keyword,human - category,human - Sub category,Comment,HUMAN CATGEORY_NEW(ARYA),location,COMMENTS (FROM PARIJAAT),Category,Sub-category
2759,"@chuxley4368 @Bounce_BackLoan swoop review is determining your eligibility, they then send your app to HSBC Who payout, hopefully will be useful I'll find out today when I call them",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2760,"Coronavirus: HSBC puts 35,000 job cuts on hold https://t.co/gAye5HJ0o4",COVID19,Coronavirus,,COVID19,Coronavirus,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,India,,{'category': 'Covid19',subcategory': 'Covid19 impact'
2761,@BenPikeComms @HSBC Yeah... I'm moving banks for sure when this is all sorted,CHURN,,moving banks,CHURN,,moving banks,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Bude, England",,{'category': 'General',subcategory': 'General'
2762,"Nigeria Records 216 New Cases Of COVID-19, Total Infections Exceed 6,000
 
 https://t.co/SiCjMNuOzl #Sony #Hongkong #Spain #automotive #china #moneygram #easyjet #burberry #flybmi #unilever #hitachi #Dowjones #AXA #HSBC #Michelin #Barclays #jaguar https://t.co/jU4dsiOlnU",COVID19,,,COVID19,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'Covid19',subcategory': 'Covid19 impact'
2763,@Smithy_714 @HSBC_UK @TUIUK Thanks for sharing this! Iâ€™m giving it a go today.,General,,,General,,,,,,,,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,London,,{'category': 'Reputation',subcategory': 'Good reputation'
2764,"Join my esteemed guests from HSBC, UBS &amp; Fenergo for our APAC Remote Account Opening webinar on May 20: https://t.co/d0lBpgpkME
 
 #FinTech #Regtech #Tech #Banking #DigitalBanking #Webinar #APAC #Singapore #HongKong #Transformation @UBS @HSBC @Fenergo https://t.co/lwGh7gdN2Y",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"New York, USA",,{'category': 'General',subcategory': 'General'
2765,"Nigeria Records 216 New Cases Of COVID-19, Total Infections Exceed 6,000
 
 https://t.co/AbnGPqRaul #Sony #Hongkong #spaincoronavirus #body #shop #Nigeria #Airbus #Toyota #Ford #unilever #HSBC #Sony #Toshiba #Michelin #BMW #USA #UBS #moneygram #burberry https://t.co/Pfw4a583XF",COVID19,,,COVID19,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Lagos, nigeria",,{'category': 'Covid19',subcategory': 'Covid19 impact'
2766,Short sale vol (not short interest) for $JPM on 2020-05-18 is 31%. https://t.co/YP3rJ6LNId $DB 48% $PNC 41% $HSBC 39% $BAC 35%,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"New York, USA",,{'category': 'General',subcategory': 'General'
2767,"@aaronsneddon @StarlingBank @AnneBoden Go on HSBC website, go through the bbl section and thereâ€™s a number to ring, takes a week, simple",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,newcastle,,{'category': 'General',subcategory': 'General'
2768,@segwaybude @HSBC Used to put up with it then saw how other banks actually make an effort,BAD REPUTATION,,,BAD REPUTATION,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Byfield, England",,{'category': 'General',subcategory': 'General'
2769,@chrisco11ins @BuffaloBills I call it The Ralph. The Bisons park is still Dunn Tire Park to me and the Sabres arena is still HSBC Arena to me. That's what I grew up knowing them as and that's how it's gonna stay.,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,716,,{'category': 'General',subcategory': 'General'
2770,@BenPikeComms @HSBC Absolute jokers ain't they! I swear they just drink coffee all day looking down at us peasants!,BAD REPUTATION,,,BAD REPUTATION,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Bude, England",,{'category': 'General',subcategory': 'General'
2771,"#RYA *HSBC RAISES #RYANAIR PRICE TARGET TO 13.50 (12) EUR - 'BUY' 
 Date/Time: 19/05/2020 6:38:54",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,United Kingdom,,{'category': 'General',subcategory': 'General'
2772,"Nigeria Records 216 New Cases Of COVID-19, Total Infections Exceed 6,000
 
 https://t.co/hWnyh0uQvl #Sony #Hongkong #spaincoronavirus #body #shop #Nigeria #Airbus #Toyota #Ford #unilever #HSBC #Sony #Toshiba #Michelin #BMW #USA #UBS #moneygram #easyjet https://t.co/YTXfHBEHks",COVID19,,,COVID19,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'Covid19',subcategory': 'Covid19 impact'
2773,Singapore fintech Spark Systems lands $10.5m from Citi and HSBC https://t.co/IMuB38CsxS,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,South Africa,,{'category': 'General',subcategory': 'General'
2774,@Bounce_BackLoan @shezRommy I've just spoken to HSBC and asked where to send the feeder account form she said she didn't know !,BAD REPUTATION,,,BAD REPUTATION,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2775,@beachbum84w @Bounce_BackLoan @HSBC_UK Thanks,General,,,General,,,Junk,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2776,@FaseehMangi SCB is quite literally amazing. Better than HSBC in the uk when it comes to customer service.,BAD REPUTATION,,,BAD REPUTATION,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'Customer service',subcategory': 'Bad customer service'
2777,"Nice to have some good employment news. Crewe based Baywater Healthcare to increase workforce by 20% as part of rapid expansion following HSBC funding package
 https://t.co/ld828F3lBN",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"North West, England",,{'category': 'General',subcategory': 'General'
2778,"@MartinSLewis @HSBC_UK please look into the BBL loans with HSBC. This is turning into a scandal. Applied 4th May. Have received 1 email. Nothing since. Businesses are going under,",DELAY,Delay_in_bounce_back_loan,,DELAY,Delay_in_bounce_back_loan,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2779,@kerrie_astell @Bounce_BackLoan @HSBC_UK I'm using either the COVID-19 support one or the accounts one that ends in 606060,COVID19,,,COVID19,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Bude, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2780,@aurelio08298293 @Bounce_BackLoan @HSBC_UK I've had that 5 times now.... dont hold your breath. Still waiting ðŸ¤¦ðŸ»â€â™‚ï¸,DELAY,Delay_in_bounce_back_loan,,DELAY,Delay_in_bounce_back_loan,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Bude, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2781,@HSBC_UK Hiya I need you haha!! I have uploaded docs for proof of earnings but I keep getting an email to upload my docs. Can you check your side to see if you have them??,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Sheffield, England",,{'category': 'General',subcategory': 'General'
2782,@beachbum84w @Bounce_BackLoan @HSBC_UK Just off the phoneðŸ™ˆ escalated with detail taken this time ðŸ¤ž,BAD REPUTATION,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,Edinburgh,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2783,@beachbum84w @Bounce_BackLoan @HSBC_UK What telephone number are you getting through on ðŸ¤”,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2784,"@geordie_travels Hi there, we've been really busy the last few days, apologies for the wait. I think a better number to call would be 03457 404404, and if needs be, we can transfer you. If you call us now, we should be a bit quieter, and we'll get this sorted.. ^Chris",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"London, UK",,{'category': 'General',subcategory': 'General'
2785,"@ComicBizStore Our teams are trying to go through all of the applications as fast as they can, and each case is different. Please bear with us. ^Desi",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"London, UK",,{'category': 'General',subcategory': 'General'
2786,"@ComicBizStore Good morning, Paul. I do apologise for the delay. We would not be able to check your application on the account currently. 
 When you've completed the application, you would've seen a confirmation screen with a reference. This means that we've received the application. (1/2) ^Desi",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,Delay,subcategory': 'Bounce back loan delays',N/A,,"London, UK",,{'category': 'Delay',subcategory': 'Delay in bounce back loan'
2787,"View all the speakers, from caompanies including @ING_news, @HSBC, @RevolutApp and more, look over the complete agenda and see all that #digitalbanking20 Goes Digital has offer by downloading the brochure.
 
 Get it here - https://t.co/MhDwPpGzWl
 
 #bank #banking #data #innovation https://t.co/o0q4zZpXQj",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,London,,{'category': 'General',subcategory': 'General'
2788,@Bounce_BackLoan But does this form got to come from hsbc directly? How was discovered?,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,coventry,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2789,@HSBCUKBusiness i have reapplied for the bbl today as hsbc said there was nothing showing on my account. I have actually recieved an email this time when i didnt before saying its been recieved. Does this mean my previous applications didnt get recieved?,General,,bounce back loan,Customer Query,,bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,Essex Uk,,{'category': 'General',subcategory': 'General'
2790,You have no idea how many times this dear follower has been phoning HSBC. https://t.co/7u69lRc7LL,CUSTOMER_SERVICE_ISSUES,,,CUSTOMER_SERVICE_ISSUES,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'General',subcategory': 'General'
2791,@Bounce_BackLoan So as at today I have 1 HSBC Bus Customer still waiting agreement and funds. HSBC Pers Customer awaiting any form of agreement and funds. Tide customer just waiting. Starling customer. Gave up! Thatâ€™s all I know for the time being,DELAY,Delay_in_bounce_back_loan,,DELAY,Delay_in_bounce_back_loan,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Romsey, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2792,"Once again you are correct Mr.E !
 
 Hope you are still keeping your hands clean of (can't be jailed) HSBC? https://t.co/pSQw0XdVDI",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,North East Of London,,{'category': 'General',subcategory': 'General'
2793,Happy Tuesday! We have a fantastic video for you from @HSBC_UK Breeze Champion Susan and her furry best buddy Ella on their local bike ride adventures ðŸ˜ðŸ•ðŸ‘ðŸš² #LetsRideLocal @letsrideuk #cycling #dogsoftwitter https://t.co/T3m2e4uMch,General,,,General,,,,,,,,{'category': 'Reputation',subcategory': 'Good reputation',General response,,"North East, England",,{'category': 'Reputation',subcategory': 'Good reputation'
2794,"@HSBC_UK I've got myself into a pickle, please check your dms",General,,,Customer Query,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'General',subcategory': 'General'
2795,"@deepaspillai Hello, Hello, kindly accept my apologies for any bad experience which you may have had. Kindly write into us with your concern details on, https://t.co/avnJM78Ndb so that our team can get in touch with you.^Alpa",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Mumbai, India",,{'category': 'General',subcategory': 'General'
2796,@Garou_Hidalgo @johnpilger HSBC BANK Founded on opium money.,,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,N 55Â°58' 0'' / W 3Â°10' 0'',,{'category': 'General',subcategory': 'General'
2797,"@Manfrompind Good morning. I'm sorry that we haven't reached you yet. I can assure you that my colleagues are working very hard at the moment in order to get to everyone. Once they've reviewed your application, they will be in touch. Thanks for bearing with us. ^Desi",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'General Response from bank (thanks)',General response from bank,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
2798,"@RennySF Hi Pat, below I'm sending you a link to search for the closest branch and with the up to date opening hours. While you're a the branch they can assist you to reset and security details you may have forgotten. ^Claude
 
 https://t.co/gXEx6thCwf",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"London, UK",,{'category': 'General',subcategory': 'General'
2799,"@Tata_Crucible HSBC Bank
 
 #FromTheQuizMaster #TCCQ2020 #Contest #ContestAlert
 
 Join 
 @tvs202219
 
 @LivePoolsIndia
 
 @mahimadevii
 
 @MullapudiSajay
 
 @KarelaMeetha",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,Visakhapatnam,,{'category': 'General',subcategory': 'General'
